      0.00000000    -24.34819208    715.00000000
      0.00000000      5.88065172    722.37500000
      0.00000000     33.75587227    729.75000000
      0.00000000     59.27746958    737.12500000
      0.00000000     82.44544364    744.50000000
      0.00000000    103.25979445    751.87500000
      0.00000000    121.72052202    759.25000000
      0.00000000    137.82762633    766.62500000
      0.00000000    151.58110740    774.00000000
      0.00000000    162.98096523    781.37500000
      0.00000000    172.02719980    788.75000000
      0.00000000    178.71981113    796.12500000
      0.00000000    183.05879921    803.50000000
      0.00000000    185.04416404    810.87500000
      0.00000000    184.67590563    818.25000000
      0.00000000    181.95402397    825.62500000
      0.00000000    176.87851906    833.00000000
      0.00000000    169.44939091    840.37500000
      0.00000000    159.66663950    847.75000000
      0.00000000    147.53026485    855.12500000
      0.00000000    133.04026696    862.50000000
      0.00000000    353.53362102    869.87500000
      0.00000000    317.23924780    877.25000000
      0.00000000    284.60433558    884.62500000
      0.00000000    255.62888438    892.00000000
      0.00000000    230.31289418    899.37500000
      0.00000000    208.65636499    906.75000000
      0.00000000    190.65929681    914.12500000
      0.00000000    176.32168964    921.50000000
      0.00000000    165.64354347    928.87500000
      0.00000000    158.62485831    936.25000000
      0.00000000    155.26563416    943.62500000
      0.00000000    155.56587102    951.00000000
      0.00000000    159.52556889    958.37500000
      0.00000000    167.14472776    965.75000000
      0.00000000    178.42334764    973.12500000
      0.00000000    193.36142853    980.50000000
      0.00000000    211.95897043    987.87500000
      0.00000000    234.21597333    995.25000000
      0.00000000    260.13243724   1002.62500000
      0.00000000    289.70836217   1010.00000000

    110.00000000     -6.32999416    715.00000000
    110.00000000     20.14404181    722.37500000
    110.00000000     44.55111971    729.75000000
    110.00000000     66.89123954    737.12500000
    110.00000000     87.16440130    744.50000000
    110.00000000    105.37060499    751.87500000
    110.00000000    121.50985062    759.25000000
    110.00000000    135.58213817    766.62500000
    110.00000000    147.58746766    774.00000000
    110.00000000    157.52583908    781.37500000
    110.00000000    165.39725243    788.75000000
    110.00000000    171.20170771    796.12500000
    110.00000000    174.93920492    803.50000000
    110.00000000    176.60974407    810.87500000
    110.00000000    176.21332515    818.25000000
    110.00000000    173.74994815    825.62500000
    110.00000000    169.21961309    833.00000000
    110.00000000    162.62231997    840.37500000
    110.00000000    153.95806877    847.75000000
    110.00000000    143.22685950    855.12500000
    110.00000000    130.42869217    862.50000000
    110.00000000    328.14057210    869.87500000
    110.00000000    295.99320221    877.25000000
    110.00000000    267.07042069    884.62500000
    110.00000000    241.37222754    892.00000000
    110.00000000    218.89862276    899.37500000
    110.00000000    199.64960636    906.75000000
    110.00000000    183.62517833    914.12500000
    110.00000000    170.82533867    921.50000000
    110.00000000    161.25008739    928.87500000
    110.00000000    154.89942448    936.25000000
    110.00000000    151.77334994    943.62500000
    110.00000000    151.87186377    951.00000000
    110.00000000    155.19496598    958.37500000
    110.00000000    161.74265655    965.75000000
    110.00000000    171.51493551    973.12500000
    110.00000000    184.51180283    980.50000000
    110.00000000    200.73325853    987.87500000
    110.00000000    220.17930260    995.25000000
    110.00000000    242.84993504   1002.62500000
    110.00000000    268.74515585   1010.00000000

    220.00000000     13.08610106    715.00000000
    220.00000000     36.10631888    722.37500000
    220.00000000     57.32643449    729.75000000
    220.00000000     76.74644788    737.12500000
    220.00000000     94.36635905    744.50000000
    220.00000000    110.18616801    751.87500000
    220.00000000    124.20587475    759.25000000
    220.00000000    136.42547927    766.62500000
    220.00000000    146.84498158    774.00000000
    220.00000000    155.46438166    781.37500000
    220.00000000    162.28367953    788.75000000
    220.00000000    167.30287519    796.12500000
    220.00000000    170.52196862    803.50000000
    220.00000000    171.94095984    810.87500000
    220.00000000    171.55984884    818.25000000
    220.00000000    169.37863563    825.62500000
    220.00000000    165.39732019    833.00000000
    220.00000000    159.61590254    840.37500000
    220.00000000    152.03438268    847.75000000
    220.00000000    142.65276059    855.12500000
    220.00000000    131.47103629    862.50000000
    220.00000000    307.09330811    869.87500000
    220.00000000    278.81491716    877.25000000
    220.00000000    253.35807540    884.62500000
    220.00000000    230.72278282    892.00000000
    220.00000000    210.90903943    899.37500000
    220.00000000    193.91684521    906.75000000
    220.00000000    179.74620018    914.12500000
    220.00000000    168.39710433    921.50000000
    220.00000000    159.86955767    928.87500000
    220.00000000    154.16356018    936.25000000
    220.00000000    151.27911188    943.62500000
    220.00000000    151.21621277    951.00000000
    220.00000000    153.97486283    958.37500000
    220.00000000    159.55506208    965.75000000
    220.00000000    167.95681051    973.12500000
    220.00000000    179.18010812    980.50000000
    220.00000000    193.22495491    987.87500000
    220.00000000    210.09135089    995.25000000
    220.00000000    229.77929605   1002.62500000
    220.00000000    252.28879039   1010.00000000

    330.00000000     33.90009356    715.00000000
    330.00000000     53.76748294    722.37500000
    330.00000000     72.08181662    729.75000000
    330.00000000     88.84309461    737.12500000
    330.00000000    104.05131690    744.50000000
    330.00000000    117.70648351    751.87500000
    330.00000000    129.80859441    759.25000000
    330.00000000    140.35764963    766.62500000
    330.00000000    149.35364915    774.00000000
    330.00000000    156.79659298    781.37500000
    330.00000000    162.68648111    788.75000000
    330.00000000    167.02331355    796.12500000
    330.00000000    169.80709030    803.50000000
    330.00000000    171.03781136    810.87500000
    330.00000000    170.71547672    818.25000000
    330.00000000    168.84008638    825.62500000
    330.00000000    165.41164036    833.00000000
    330.00000000    160.43013864    840.37500000
    330.00000000    153.89558122    847.75000000
    330.00000000    145.80796812    855.12500000
    330.00000000    136.16729932    862.50000000
    330.00000000    290.39182903    869.87500000
    330.00000000    265.70439266    877.25000000
    330.00000000    243.46729973    884.62500000
    330.00000000    223.68055023    892.00000000
    330.00000000    206.34414417    899.37500000
    330.00000000    191.45808155    906.75000000
    330.00000000    179.02236237    914.12500000
    330.00000000    169.03698662    921.50000000
    330.00000000    161.50195431    928.87500000
    330.00000000    156.41726544    936.25000000
    330.00000000    153.78292000    943.62500000
    330.00000000    153.59891801    951.00000000
    330.00000000    155.86525945    958.37500000
    330.00000000    160.58194433    965.75000000
    330.00000000    167.74897264    973.12500000
    330.00000000    177.36634440    980.50000000
    330.00000000    189.43405959    987.87500000
    330.00000000    203.95211822    995.25000000
    330.00000000    220.92052028   1002.62500000
    330.00000000    240.33926578   1010.00000000

    440.00000000     56.11198336    715.00000000
    440.00000000     73.12753398    722.37500000
    440.00000000     88.81726610    729.75000000
    440.00000000    103.18117972    737.12500000
    440.00000000    116.21927485    744.50000000
    440.00000000    127.93155148    751.87500000
    440.00000000    138.31800961    759.25000000
    440.00000000    147.37864925    766.62500000
    440.00000000    155.11347038    774.00000000
    440.00000000    161.52247303    781.37500000
    440.00000000    166.60565717    788.75000000
    440.00000000    170.36302281    796.12500000
    440.00000000    172.79456996    803.50000000
    440.00000000    173.90029862    810.87500000
    440.00000000    173.68020877    818.25000000
    440.00000000    172.13430043    825.62500000
    440.00000000    169.26257359    833.00000000
    440.00000000    165.06502825    840.37500000
    440.00000000    159.54166442    847.75000000
    440.00000000    152.69248208    855.12500000
    440.00000000    144.51748126    862.50000000
    440.00000000    278.03613489    869.87500000
    440.00000000    256.66162871    877.25000000
    440.00000000    237.39809367    884.62500000
    440.00000000    220.24552977    892.00000000
    440.00000000    205.20393700    899.37500000
    440.00000000    192.27331537    906.75000000
    440.00000000    181.45366488    914.12500000
    440.00000000    172.74498553    921.50000000
    440.00000000    166.14727732    928.87500000
    440.00000000    161.66054024    936.25000000
    440.00000000    159.28477430    943.62500000
    440.00000000    159.01997950    951.00000000
    440.00000000    160.86615583    958.37500000
    440.00000000    164.82330330    965.75000000
    440.00000000    170.89142191    973.12500000
    440.00000000    179.07051166    980.50000000
    440.00000000    189.36057255    987.87500000
    440.00000000    201.76160457    995.25000000
    440.00000000    216.27360773   1002.62500000
    440.00000000    232.89658203   1010.00000000

    550.00000000     79.72177045    715.00000000
    550.00000000     94.18647200    722.37500000
    550.00000000    107.53278293    729.75000000
    550.00000000    119.76070322    737.12500000
    550.00000000    130.87023289    744.50000000
    550.00000000    140.86137193    751.87500000
    550.00000000    149.73412034    759.25000000
    550.00000000    157.48847812    766.62500000
    550.00000000    164.12444528    774.00000000
    550.00000000    169.64202180    781.37500000
    550.00000000    174.04120770    788.75000000
    550.00000000    177.32200297    796.12500000
    550.00000000    179.48440761    803.50000000
    550.00000000    180.52842162    810.87500000
    550.00000000    180.45404500    818.25000000
    550.00000000    179.26127776    825.62500000
    550.00000000    176.95011988    833.00000000
    550.00000000    173.52057138    840.37500000
    550.00000000    168.97263225    847.75000000
    550.00000000    163.30630249    855.12500000
    550.00000000    156.52158210    862.50000000
    550.00000000    270.02622566    869.87500000
